"categoria","prodotto","brand","prezzo_acquisto_eur","prezzo_vendita_eur","margine_eur","margine_%","fonte_costo"
"Aperture","Ferma porta ad incastro bianco","","","1.99","","",""
"Aperture","Ferma porta ad incastro grigio","","","1.99","","",""
"Aperture","Fermaporta esterno","","","1.90","","",""
"Aperture","Fermaporta esterno bianco","","","1.40","","",""
"Aperture","Fermaporta esterno bianco (rinforzato)","","","17.99","","",""
"Aperture","Fermaporta esterno bianco 32 mm","","","3.99","","",""
"Aperture","Fermaporta esterno metallico","","","18.99","","",""
"Aperture","Fermaporta esterno nero","","","1.40","","",""
"Aperture","Fermaporta magnetico KlakKlak Easy tenuta 10 kg","KlakKlak","","39.99","","",""
"Aperture","Fermaporta pieghevole","","","1.99","","",""
"Aperture","Fermaporta semisferico a incastro bianco","","","1.60","","",""
"Aperture","Fermaporta tondo a incastro per Laika","","","1.99","","",""
"Arredamento","Dimmer Alcapower per Strisce LED con Telecomando","Alcapower","","12.99","","",""
"Arredamento","Faretto con interruttore ovale 6 LED","","","20.99","","",""
"Arredamento","Faretto con interruttore ovale 6 LED (blister)","","","21.99","","",""
"Arredamento","Lampada d'Emergenza Alcapower da Parete LiFePO4 IP65","Alcapower","","17.99","","",""
"Arredamento","Lampada Notturna e d'Emergenza Alcapower Li-Po","Alcapower","","5.99","","",""
"Arredamento","Lampada Portatile Alcapower con Carica USB e Pannello Solare","Alcapower","","13.99","","",""
"Arredamento","Plafoniera a pile LOVING","","","8.99","","",""
"Arredamento","Striscia LED Alcapower COB 12V 3000K 5m","Alcapower","","40.99","","",""
"Arredamento","Striscia LED Alcapower COB 12V 6500K 5m","Alcapower","","40.99","","",""
"Avviatori d'Emergenza","Avviatore d'Emergenza Alcapower 4000A con PowerBank e Torcia","Alcapower","","235.99","","",""
"Avviatori d'Emergenza","Avviatore d'Emergenza Alcapower 800A con PowerBank e Torcia","Alcapower","","77.99","","",""
"Batterie","Batteria LiFePO4 ExtraPOWER 100 Ah","ExtraPOWER","","449.99","","",""
"Batterie","Batteria LiFePO4 ExtraPOWER 150 Ah","ExtraPOWER","","669.99","","",""
"Batterie","Batteria LiFePO4 ExtraPOWER 200 Ah","ExtraPOWER","","829.99","","",""
"Batterie","Batteria LiFePO4 ExtraPOWER 300 Ah","ExtraPOWER","","1169.99","","",""
