"prodotto","peso_kg","dimensioni_cm","affidabilita","nota"
"Batteria Litio Ultimatron UBL-12-100H-PRO 12,8V 100Ah","9.90","26x21.4x17","alta","confermato: il listino prezzi rivenditori Ultimatron (PDF locale) elenca UBL-12-100H-PRO esattamente con questo nome e peso, risolve il dubbio precedente"
"Batteria Litio Ultimatron UBL-12-200H-PRO 12,8V 200Ah con Riscaldatore","21.00","50.2x24.6x18.6","alta",""
"Batteria Litio Ultimatron UBL-12-300H-PRO 12,8V 300Ah con Riscaldatore","28.15","52.2x22.1x24","alta",""
"Batteria Litio Ultimatron ULM-12-200H 12,8V 200Ah Sottosedile","23.30","35.7x15.2x31.6","alta","spedizione già inclusa nel prezzo, escludere dal calcolo"
"Batteria Litio Ultimatron ULM-12-310H 12,8V 310Ah Sottosedile","29.30","35.5x19x30.6","alta","spedizione già inclusa nel prezzo, escludere dal calcolo"
"Batteria Litio Ultimatron ULM-12-620 12,8V 620Ah","61.65","44x37.5x31.8","alta","spedizione già inclusa nel prezzo, escludere dal calcolo"
"Batteria LiFePO4 ExtraPOWER 100 Ah","10","35.3x17.5x18.8","media","altra fonte riporta 13.5kg"
"Batteria LiFePO4 ExtraPOWER 150 Ah","17.5","","bassa","stima interpolata, non confermato"
"Batteria LiFePO4 ExtraPOWER 200 Ah","25","35x28.7x18.7","media",""
"Batteria LiFePO4 ExtraPOWER 300 Ah","","","bassa","NON usare, valore trovato è lordo/spedizione"
"Batteria LiFePO4 ExtraPOWER 450 Ah","","","bassa","NON usare, valore trovato è lordo/spedizione"
"Climatizzatore Dometic FreshJet 1500W bianco","25.8","75.2x70.2x22.5","media",""
"Climatizzatore Dometic FreshJet 1500W nero","25.8","75.2x70.2x22.5","media",""
"Climatizzatore Dometic FreshJet 1700W bianco","28.5","78.7x56.2x22.5","media",""
"Climatizzatore Dometic FreshJet 1700W nero","28.5","78.7x56.2x22.5","media",""
"Climatizzatore Dometic FreshJet 2200W bianco","31","78.7x56.2x22.5","media",""
"Climatizzatore Dometic FreshJet 2200W nero","31","78.7x56.2x22.5","media",""
"Climatizzatore Dometic Freshlight 2200 con Oblò","","","bassa","NON usare, fonti molto discordanti (21-44.5kg)"
"Climatizzatore Dometic Freshwell 3000","21","62.8x40x28.6","alta",""
"Climatizzatore Ultimatron France ULT-12-2000-PAC 12V 2000W","23.00","68.4x66.45x17.4","alta","trovato nel listino prezzi rivenditori Ultimatron (PDF locale) - dato ufficiale del produttore"
"Climatizzatore Ultimatron France ULT-12-2700-PAC 12V 2700W","29.00","85.5x92x18","alta","trovato nel listino prezzi rivenditori Ultimatron (PDF locale) - dato ufficiale del produttore"
"Condizionatore ExtraCLIMA 2650W bianco","32.2","107.7x72x28.3","alta",""
"Condizionatore ExtraCLIMA 2650W grigio","32.2","107.7x72x28.3","alta",""
"Condizionatore ExtraCLIMA inverter 3600W","32.2","107.7x72x28.3","media",""
"Condizionatore Openair Full Inverter 12V","31","","media",""
"Condizionatore Openair Plus Full Inverter 12V","42.7","","media","unica fonte trovata"
"Dometic FreshJet FJZ4 1700 bianco","28.5","78.7x56.2x22.5","media",""
"Dometic FreshJet FJZ4 1700 nero","28.5","78.7x56.2x22.5","media",""
"Dometic FreshJet FJZ7 2200 bianco con inverter","30.2","75.2x70.2x22.5","media",""
"Autoterm Air 2D con pannello Comfort","2.9","31x11.9x14.5","alta","solo riscaldatore+pannello, non kit"
"Autoterm Air 2D con pannello PU-5","2.9","31x11.9x14.5","alta","solo riscaldatore+pannello, non kit"
"Autoterm Air 4D con pannello Comfort","5.5","40.2x15.7x18.8","alta","solo riscaldatore+pannello, non kit"
"Autoterm Air 4D con pannello PU-5","5.5","40.2x15.7x18.8","alta","solo riscaldatore+pannello, non kit"
"Kit Autoterm Air 2D con pannello Comfort","6.4","40x36x17","alta","kit completo"
"Kit Autoterm Air 2D con pannello PU-5","6.4","40x36x17","alta","kit completo"
"Kit Autoterm Air 4D con pannello Comfort","11.4","45x34x22","alta","kit completo"
"Kit Autoterm Air 4D con pannello PU-5","11.4","45x34x22","alta","kit completo"
"Kit Riscaldamento Invernale","4.90","","media","somma componenti reali dal DB (Oscurante 2kg + Riscaldatore 2.9kg, entrambi stimati)"
"Riscaldatore a gasolio 2 kW","2.9","31x11.9x14.5","media","stima per analogia, su GES cod. RIS9402"
"Riscaldatore a gasolio 4 kW","5.5","40.2x15.7x18.8","media","stima per analogia"
"Stufa a gas Truma SL 3004 con accensione automatica","10.3","50x37.1x54.5","alta",""
"Stufa a gas Truma SL 5004 con accensione automatica","17.5","49.6x53.3x56.8","alta",""
"Travel Box 2.0 Riscaldatore a gasolio portatile","18.5","50x40x20","alta","peso a vuoto, 22.5kg pieno"
"Frigorifero a compressore ExtraCOOL (mod. FRG514)","35.5","41.9x56.5x151.5","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG547)","18","38x51x53","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG551)","24","40.2x48.5x67","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG564)","24","41.9x45x82","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG571)","24","46x46x82","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG575)","39.5","52.3x59.3x124.5","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG583)","23.5","52x58x82.1","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG584)","27","52x50x82.1","alta",""
"Frigorifero a compressore ExtraCOOL (mod. FRG587)","28","41.9x48.5x97.6","alta",""
"Frigorifero a compressore per camper (mod. FRG700)","20.5","47.5x64x52.8","alta","= Dometic Coolmatic CRX 80"
"Frigorifero a compressore per camper (mod. FRG701)","27","52x55.8x74.5","alta","= Dometic Coolmatic CRX 110"
"Frigorifero a compressore per camper (mod. FRG706)","17","38x50x53.4","alta","= Dometic Coolmatic CRX 50"
"Frigorifero a compressore per camper (mod. FRG853)","18.7","39.8x69.4x47.6","alta","= Dometic CoolFreeze CFX3 45"
"WC portatile Bi-Pot 30","4.1","43.5x34.5x30","alta",""
"WC portatile Bi-Pot 34","4.7","43.5x36x34","alta",""
"WC portatile Bi-Pot 39","4.8","43.5x36x39.2","alta",""
"Kit Toilette da Viaggio","9.35","","media","somma componenti reali dal DB (Disgregante+Igienizzante 0,75L+RinoGrey+WC Bi-Pot 30)"
"Kit Impianto Acqua Fissa","7.05","","media","somma componenti reali dal DB (Pompa+Rubinetto+Serbatoio 84L stimato)"
"Serbatoio acqua 103 L (38x123x22 cm)","","38x123x22","media","stima 7-9kg vuoto"
"Serbatoio acqua 126 L (45x100x28 cm)","","45x100x28","media","stima 8-10kg vuoto"
"Serbatoio acqua 50 L (48x40x26 cm)","","48x40x26","media","stima 4-5kg vuoto"
"Serbatoio acqua 64 L (38x77x22 cm)","","38x77x22","media","stima 5-6kg vuoto"
"Serbatoio acqua 84 L (38x100x22 cm)","","38x100x22","media","stima 6-7kg vuoto"
"Tank 70","5.5","70L, Ø ingresso 38mm Ø uscita 13mm","bassa","confermato su GES (cod. SRB103, nome esatto) ma la scheda prodotto non riporta peso/dimensioni fisiche - stima per analogia con gli altri serbatoi della stessa gamma (50-84L pesano 4-7kg vuoti)"
"Inverter Alcapower 2,4kW 230V 24V con MPPT 40A","5.3","33.4x26x9.3","alta",""
"Inverter Alcapower 3,5kW 230V 24V con MPPT 110A","10","47.2x29.7x13.3","alta",""
"Inverter Alcapower 5,5kW 230V 48V con MPPT 110A","10.7","47.2x29.7x13.3","alta",""
"Inverter Alcapower Onda Sinusoidale Pura 1500W","5.8","37.2x23x10.8","alta",""
"Regolatore di Carica MPPT Alcapower 40A 12-24V","1.5","22x14.8x6.4","alta",""
"Thermoglas Ducato Windscreen","1.6","47x35x7","bassa","una sola fonte, verificare"
"Thermoglas XXL Ducato (2006 >)","11","","alta",""
"Kit Comfort Cabina Guida","2.10","","alta","somma componenti reali dal DB (Moskito Net 64 + Thermoglas Ducato Windscreen)"
"Oscurante termico esterno universale (cabina)","2","","bassa","stima, su GES cod. OTE100"
"Garage System Standard","","64.5x41","media","stima 5-8kg"
"Kit Garage da Viaggio","3.40","2x(200x4x2.5)","media","somma componenti reali dal DB (ganci+cinghia+Garage-Bars) - pacco lungo 200cm"
"Garage-Bars","3","2x(200x4x2.5)","media","pacco lungo 200cm, attenzione a dimensione oltre peso"
"Garage Carry Rail","1","","media",""
"Luggage Bar","1.5","","bassa","stima per analogia"
"Cargo Strap","0.3","","bassa",""
"4 ganci per cinghie rettangolari","0.1","","bassa",""
"Quattro ganci in metallo","0.1","","bassa",""
"Veranda Thule 3200 Antracite 2,50 m - Telo Uni Grey","14.7","","alta","il kit usa la variante 2,30m, peso leggermente diverso"
"Kit Veranda Motorizzata","","","da_ricercare","manca peso Control Box e veranda 2,30m (nel catalogo solo la 2,50m)"
"Fiamma Mega Bag","1","140x27x40","bassa",""
"Moskito Net 64","0.5","","alta",""
"Zanzariera Porta Carad-RF Completa","4.5","","bassa","stima per analogia"
"Zanzariera Remicare 2 per Van 1435x1250 mm","3.8","143.5x125","media","taglia leggermente diversa dal catalogo"
"Zanzariera Remicare per Van Ducato X250/290 - 1710x1250 mm","3.8","171x125","media","taglia leggermente diversa dal catalogo"
"Carica Batterie Alcapower Switching 10A 12/24V","1","26x10.7x6.6","alta",""
"Carica Batterie Alcapower Switching 26A 12/24V","1.75","32.1x14.5x7.75","alta",""
"Pannello solare per camper (mod. PNL025)","1.4","79x19x3","alta",""
"Avviatore d'Emergenza Alcapower 4000A con PowerBank e Torcia","2.2","27.3x20.23x10.95","alta","scheda tecnica ufficiale alcapower.com, cod. PJ-4"
"Avviatore d'Emergenza Alcapower 800A con PowerBank e Torcia","0.3","13.8x8x3.4","alta","scheda tecnica ufficiale alcapower.com, cod. PJ-1PRO"
"Compressore Alcapower 160 PSI con PowerBank e Torcia","0.576","16x6.3x6.2","alta","scheda tecnica ufficiale alcapower.com, cod. PA-2"
"Monitor LCD Alcapower 7"" a Colori","0.332","18x12.06x3.1","alta","scheda tecnica ufficiale alcapower.com, cod. TM-70H"
"Specchietto Retrovisore Alcapower con Monitor 7""","0.383","25x10.86x2.28","alta","scheda tecnica ufficiale alcapower.com, cod. K-M7005"
"Telecamera Alcapower 18 IR per Motorhome","","6x7.5x4.8","alta","scheda tecnica ufficiale alcapower.com, cod. AP2610 - peso non indicato dal fornitore"
"Telecamera Alcapower 8 IR per Retromarcia","0.285","5.4x5.25x5.55","alta","scheda tecnica ufficiale alcapower.com, cod. AP2620"
"Telecamera Alcapower 8 IR per Retromarcia (bianca)","0.285","5.4x5.25x5.55","alta","scheda tecnica ufficiale alcapower.com, cod. AP2620W - stesso prodotto di AP2620, solo colore diverso; su listino risultava esaurito (qta 0) il 22/09/2026"
"LED Solare Alcapower da Giardino 500lm con Picchetto","0.277","12.99x8.5x6.13 (escluso picchetto)","media","scheda tecnica ufficiale alcapower.com, cod. SWL13 - match probabile: nome CDA combina 'giardino'+'picchetto', nel catalogo la 'picchetto' e la 'da giardino' sono due articoli distinti (SWL13/SWL14), scelto SWL13 perche' il prezzo torna con la formula gia' usata per gli altri Alcapower"
